state,state_abbr,sector_abbr,year,observed_capacity_mw
Tennessee,TN,ind,2014,24.01924
Texas,TX,ind,2014,20.8595
Utah,UT,ind,2014,4.1593835
Vermont,VT,ind,2014,5.7635
Virginia,VA,ind,2014,3.135
Washington,WA,ind,2014,4.575
West Virginia,WV,ind,2014,7.96081933333
Wisconsin,WI,ind,2014,5.75555
Wyoming,WY,ind,2014,0.063793
Alabama,AL,res,2014,0.53542
Arizona,AZ,res,2014,316.465558
Arkansas,AR,res,2014,0.3264368
California,CA,res,2014,1698.3
Colorado,CO,res,2014,135.75
Connecticut,CT,res,2014,48.383
Delaware,DE,res,2014,7.951
District of Columbia,DC,res,2014,6.5856
Florida,FL,res,2014,29.91484
Georgia,GA,res,2014,3.39
Idaho,ID,res,2014,0.4724138
Illinois,IL,res,2014,4.2539
Indiana,IN,res,2014,1.161
Iowa,IA,res,2014,7.059
Kansas,KS,res,2014,9.30875971667
Kentucky,KY,res,2014,0.3390805
Louisiana,LA,res,2014,29.778
Maine,ME,res,2014,9.30875971667
Maryland,MD,res,2014,70.693
Massachusetts,MA,res,2014,125.450322
Michigan,MI,res,2014,8.404
Minnesota,MN,res,2014,4.0637645
Mississippi,MS,res,2014,0.24645
Missouri,MO,res,2014,37.486
Montana,MT,res,2014,0.7103448
Nebraska,NE,res,2014,9.30875971667
Nevada,NV,res,2014,19.480601
New Hampshire,NH,res,2014,3.568
New Jersey,NJ,res,2014,225.79
New Mexico,NM,res,2014,26.6076505
New York,NY,res,2014,163.152191
North Carolina,NC,res,2014,13.956398
North Dakota,ND,res,2014,9.30875971667
Ohio,OH,res,2014,6.198
Oklahoma,OK,res,2014,0.4896552
Oregon,OR,res,2014,31.72
Pennsylvania,PA,res,2014,51.846304
Rhode Island,RI,res,2014,0.0187475
South Carolina,SC,res,2014,1.1101207
South Dakota,SD,res,2014,9.30875971667
Tennessee,TN,res,2014,8.45579
Texas,TX,res,2014,43.804
Utah,UT,res,2014,9.2731
Vermont,VT,res,2014,14.485
Virginia,VA,res,2014,3.687
Washington,WA,res,2014,29.4972
West Virginia,WV,res,2014,9.30875971667
Wisconsin,WI,res,2014,7.20099
Wyoming,WY,res,2014,0.2254943
Alabama,AL,com,2016,1.41673
Arizona,AZ,com,2016,173.5817585
Arkansas,AR,com,2016,0.989368
California,CA,com,2016,1367.8343305
Colorado,CO,com,2016,91.841561
Connecticut,CT,com,2016,70.794677
Delaware,DE,com,2016,15.9329885
District of Columbia,DC,com,2016,9.022297
Florida,FL,com,2016,43.61964
Georgia,GA,com,2016,15.805
Idaho,ID,com,2016,0.5770115
Illinois,IL,com,2016,11.11175
Indiana,IN,com,2016,6.264
Iowa,IA,com,2016,14.971
Kansas,KS,com,2016,11.2751470833
Kentucky,KY,com,2016,0.31954
Louisiana,LA,com,2016,0.8135
Maine,ME,com,2016,11.2751470833
Maryland,MD,com,2016,112.008882
Massachusetts,MA,com,2016,525.796466
Michigan,MI,com,2016,7.2855
Minnesota,MN,com,2016,39.4783635
Mississippi,MS,com,2016,0.33197
Missouri,MO,com,2016,35.27573
Montana,MT,com,2016,0.6559195
Nebraska,NE,com,2016,11.2751470833
Nevada,NV,com,2016,50.2418
New Hampshire,NH,com,2016,9.2348335
New Jersey,NJ,com,2016,561.82585
New Mexico,NM,com,2016,21.6047025
New York,NY,com,2016,158.763727
North Carolina,NC,com,2016,58.9347275
North Dakota,ND,com,2016,11.2751470833
Ohio,OH,com,2016,42.282522
Oklahoma,OK,com,2016,0.124138
Oregon,OR,com,2016,29.615
Pennsylvania,PA,com,2016,98.668362
Rhode Island,RI,com,2016,1.5567285
South Carolina,SC,com,2016,4.997874
South Dakota,SD,com,2016,11.2751470833
Tennessee,TN,com,2016,31.03224
Texas,TX,com,2016,45.0280305
Utah,UT,com,2016,30.60323
Vermont,VT,com,2016,28.1585
Virginia,VA,com,2016,7.542
Washington,WA,com,2016,7.695
West Virginia,WV,com,2016,11.2751470833
Wisconsin,WI,com,2016,8.28555
Wyoming,WY,com,2016,0.220115
Alabama,AL,ind,2016,1.41673
Arizona,AZ,ind,2016,173.5817585
Arkansas,AR,ind,2016,0.989368
California,CA,ind,2016,1367.8343305
Colorado,CO,ind,2016,91.841561
Connecticut,CT,ind,2016,70.794677
Delaware,DE,ind,2016,15.9329885
District of Columbia,DC,ind,2016,9.022297
Florida,FL,ind,2016,43.61964
Georgia,GA,ind,2016,15.805
Idaho,ID,ind,2016,0.5770115
Illinois,IL,ind,2016,11.11175
Indiana,IN,ind,2016,6.264
Iowa,IA,ind,2016,14.971
Kansas,KS,ind,2016,11.2751470833
Kentucky,KY,ind,2016,0.31954
Louisiana,LA,ind,2016,0.8135
Maine,ME,ind,2016,11.2751470833
Maryland,MD,ind,2016,112.008882
Massachusetts,MA,ind,2016,525.796466
Michigan,MI,ind,2016,7.2855
Minnesota,MN,ind,2016,39.4783635
Mississippi,MS,ind,2016,0.33197
Missouri,MO,ind,2016,35.27573
Montana,MT,ind,2016,0.6559195
Nebraska,NE,ind,2016,11.2751470833
Nevada,NV,ind,2016,50.2418
New Hampshire,NH,ind,2016,9.2348335
New Jersey,NJ,ind,2016,561.82585
New Mexico,NM,ind,2016,21.6047025
New York,NY,ind,2016,158.763727
North Carolina,NC,ind,2016,58.9347275
North Dakota,ND,ind,2016,11.2751470833
Ohio,OH,ind,2016,42.282522
Oklahoma,OK,ind,2016,0.124138
Oregon,OR,ind,2016,29.615
Pennsylvania,PA,ind,2016,98.668362
Rhode Island,RI,ind,2016,1.5567285
South Carolina,SC,ind,2016,4.997874
South Dakota,SD,ind,2016,11.2751470833
Tennessee,TN,ind,2016,31.03224
Texas,TX,ind,2016,45.0280305
Utah,UT,ind,2016,30.60323
Vermont,VT,ind,2016,28.1585
Virginia,VA,ind,2016,7.542
Washington,WA,ind,2016,7.695
West Virginia,WV,ind,2016,11.2751470833
Wisconsin,WI,ind,2016,8.28555
Wyoming,WY,ind,2016,0.220115
Alabama,AL,res,2016,0.90545
Arizona,AZ,res,2016,621.030575
Arkansas,AR,res,2016,1.4581609
California,CA,res,2016,3771.74
Colorado,CO,res,2016,212.3759483
Connecticut,CT,res,2016,167.598977
Delaware,DE,res,2016,30.3019655
District of Columbia,DC,res,2016,14.8884517
Florida,FL,res,2016,73.9429071
Georgia,GA,res,2016,5.04
Idaho,ID,res,2016,4.9535633
Illinois,IL,res,2016,9.2939
Indiana,IN,res,2016,4.601
Iowa,IA,res,2016,10.949
Kansas,KS,res,2016,18.1161813667
Kentucky,KY,res,2016,1.8183909
Louisiana,LA,res,2016,74.14
Maine,ME,res,2016,18.1161813667
Maryland,MD,res,2016,379.2639483
Massachusetts,MA,res,2016,440.3036895
Michigan,MI,res,2016,14.3104667
Minnesota,MN,res,2016,12.2530636
Mississippi,MS,res,2016,0.40333
Missouri,MO,res,2016,54.191803
Montana,MT,res,2016,3.6197701
Nebraska,NE,res,2016,18.1161813667
Nevada,NV,res,2016,155.8345929
New Hampshire,NH,res,2016,33.7377701
New Jersey,NJ,res,2016,501.5939339
New Mexico,NM,res,2016,54.0421844
New York,NY,res,2016,533.1589168
North Carolina,NC,res,2016,31.0506114
North Dakota,ND,res,2016,18.1161813667
Ohio,OH,res,2016,11.4115259
Oklahoma,OK,res,2016,1.1045977
Oregon,OR,res,2016,54.86
Pennsylvania,PA,res,2016,82.436304
Rhode Island,RI,res,2016,7.177491
South Carolina,SC,res,2016,40.0501207
South Dakota,SD,res,2016,18.1161813667
Tennessee,TN,res,2016,12.28279
Texas,TX,res,2016,152.2780163
Utah,UT,res,2016,104.3057782
Vermont,VT,res,2016,44.755
Virginia,VA,res,2016,14.607
Washington,WA,res,2016,75.3272
West Virginia,WV,res,2016,18.1161813667
Wisconsin,WI,res,2016,11.85619
Wyoming,WY,res,2016,0.646138
Alabama,AL,com,2018,9.4876365
Arizona,AZ,com,2018,210.907599
Arkansas,AR,com,2018,2.434368
California,CA,com,2018,2078.537707
Colorado,CO,com,2018,123.134996
Connecticut,CT,com,2018,121.6089345
Delaware,DE,com,2018,20.773592
District of Columbia,DC,com,2018,19.511716
Florida,FL,com,2018,55.6567695
Georgia,GA,com,2018,20.594745
Idaho,ID,com,2018,1.6237415
Illinois,IL,com,2018,23.163754
Indiana,IN,com,2018,29.873694
Iowa,IA,com,2018,30.08796
Kansas,KS,com,2018,13.9177060833
Kentucky,KY,com,2018,6.309492
Louisiana,LA,com,2018,3.710133
Maine,ME,com,2018,13.9177060833
Maryland,MD,com,2018,153.1373965
Massachusetts,MA,com,2018,880.4089455
Michigan,MI,com,2018,11.1419355
Minnesota,MN,com,2018,317.110077
Mississippi,MS,com,2018,0.99047
Missouri,MO,com,2018,44.4366565
Montana,MT,com,2018,1.484426
Nebraska,NE,com,2018,13.9177060833
Nevada,NV,com,2018,56.7659255
New Hampshire,NH,com,2018,15.637409
New Jersey,NJ,com,2018,693.63406
New Mexico,NM,com,2018,26.35661
New York,NY,com,2018,343.498346
North Carolina,NC,com,2018,61.238059
North Dakota,ND,com,2018,13.9177060833
Ohio,OH,com,2018,56.092824
Oklahoma,OK,com,2018,1.0797795
Oregon,OR,com,2018,37.6189825
Pennsylvania,PA,com,2018,111.818781
Rhode Island,RI,com,2018,33.990454
South Carolina,SC,com,2018,29.881704
South Dakota,SD,com,2018,13.9177060833
Tennessee,TN,com,2018,34.3855475
Texas,TX,com,2018,78.949396
Utah,UT,com,2018,44.1189285
Vermont,VT,com,2018,37.614719
Virginia,VA,com,2018,15.5812995
Washington,WA,com,2018,12.015947
West Virginia,WV,com,2018,13.9177060833
Wisconsin,WI,com,2018,18.71099
Wyoming,WY,com,2018,0.345914
Alabama,AL,ind,2018,9.4876365
Arizona,AZ,ind,2018,210.907599
Arkansas,AR,ind,2018,2.434368
California,CA,ind,2018,2078.537707
Colorado,CO,ind,2018,123.134996
Connecticut,CT,ind,2018,121.6089345
Delaware,DE,ind,2018,20.773592
District of Columbia,DC,ind,2018,19.511716
Florida,FL,ind,2018,55.6567695
Georgia,GA,ind,2018,20.594745
Idaho,ID,ind,2018,1.6237415
Illinois,IL,ind,2018,23.163754
Indiana,IN,ind,2018,29.873694
Iowa,IA,ind,2018,30.08796
Kansas,KS,ind,2018,13.9177060833
Kentucky,KY,ind,2018,6.309492
Louisiana,LA,ind,2018,3.710133
Maine,ME,ind,2018,13.9177060833
Maryland,MD,ind,2018,153.1373965
Massachusetts,MA,ind,2018,880.4089455
Michigan,MI,ind,2018,11.1419355
Minnesota,MN,ind,2018,317.110077
Mississippi,MS,ind,2018,0.99047
Missouri,MO,ind,2018,44.4366565
Montana,MT,ind,2018,1.484426
Nebraska,NE,ind,2018,13.9177060833
Nevada,NV,ind,2018,56.7659255
New Hampshire,NH,ind,2018,15.637409
New Jersey,NJ,ind,2018,693.63406
New Mexico,NM,ind,2018,26.35661
New York,NY,ind,2018,343.498346
North Carolina,NC,ind,2018,61.238059
North Dakota,ND,ind,2018,13.9177060833
Ohio,OH,ind,2018,56.092824
Oklahoma,OK,ind,2018,1.0797795
Oregon,OR,ind,2018,37.6189825
Pennsylvania,PA,ind,2018,111.818781
Rhode Island,RI,ind,2018,33.990454
South Carolina,SC,ind,2018,29.881704
South Dakota,SD,ind,2018,13.9177060833
Tennessee,TN,ind,2018,34.3855475
Texas,TX,ind,2018,78.949396
Utah,UT,ind,2018,44.1189285
Vermont,VT,ind,2018,37.614719
Virginia,VA,ind,2018,15.5812995
Washington,WA,ind,2018,12.015947
West Virginia,WV,ind,2018,13.9177060833
Wisconsin,WI,ind,2018,18.71099
Wyoming,WY,ind,2018,0.345914
Alabama,AL,res,2018,1.24665
Arizona,AZ,res,2018,1000.30538
Arkansas,AR,res,2018,6.9386201
California,CA,res,2018,5584.6758924
Colorado,CO,res,2018,322.6758489
Connecticut,CT,res,2018,272.337231
Delaware,DE,res,2018,50.8196667
District of Columbia,DC,res,2018,28.8459549
Florida,FL,res,2018,234.9983658
Georgia,GA,res,2018,5.6903
Idaho,ID,res,2018,26.8563161
Illinois,IL,res,2018,24.401492
Indiana,IN,res,2018,18.0902911
Iowa,IA,res,2018,22.014796
Kansas,KS,res,2018,27.9501110667
Kentucky,KY,res,2018,4.7889292
Louisiana,LA,res,2018,89.4217138
Maine,ME,res,2018,27.9501110667
Maryland,MD,res,2018,574.4388317
Massachusetts,MA,res,2018,624.1272935
Michigan,MI,res,2018,28.6031167
Minnesota,MN,res,2018,28.0998228
Mississippi,MS,res,2018,1.5927564
Missouri,MO,res,2018,74.440163
Montana,MT,res,2018,7.6060701
Nebraska,NE,res,2018,27.9501110667
Nevada,NV,res,2018,249.9585204
New Hampshire,NH,res,2018,54.2689557
New Jersey,NJ,res,2018,782.6629189
New Mexico,NM,res,2018,94.9521488
New York,NY,res,2018,812.6699659
North Carolina,NC,res,2018,66.9732633
North Dakota,ND,res,2018,27.9501110667
Ohio,OH,res,2018,23.0430624
Oklahoma,OK,res,2018,3.3037822
Oregon,OR,res,2018,86.9735586
Pennsylvania,PA,res,2018,171.7928621
Rhode Island,RI,res,2018,26.7734876
South Carolina,SC,res,2018,152.1744142
South Dakota,SD,res,2018,27.9501110667
Tennessee,TN,res,2018,14.82267
Texas,TX,res,2018,319.1079901
Utah,UT,res,2018,224.7234216
Vermont,VT,res,2018,62.454042
Virginia,VA,res,2018,40.6433832
Washington,WA,res,2018,123.5949909
West Virginia,WV,res,2018,27.9501110667
Wisconsin,WI,res,2018,19.03509
Wyoming,WY,res,2018,2.5083201
