nerc_region_abbr,nerc_region_desc,sector,year,load_multiplier,scenario,sector_abbr
ISNE,Northeast Power Coordinating Council / New England,Commercial,2018,1,AEO2022 Reference case,com
ISNE,Northeast Power Coordinating Council / New England,Industrial,2018,1,AEO2022 Reference case,ind
ISNE,Northeast Power Coordinating Council / New England,Industrial,2018,1,AEO2023 High Oil Price,ind
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Residential,2018,1,AEO2022 Reference case,res
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Commercial,2018,1,AEO2022 Reference case,com
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Residential,2018,1,AEO2023 High Oil Price,res
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Commercial,2018,1,AEO2023 High Oil Price,com
FRCC,Florida Reliability Coordinating Council,Commercial,2020,1,AEO2022 Reference case,com
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Industrial,2018,1,AEO2022 Reference case,ind
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Industrial,2018,1,AEO2023 High Economic Growth,ind
NYUP,Northeast Power Coordinating Council / Upstate New York,Residential,2018,1,AEO2022 Reference case,res
NYUP,Northeast Power Coordinating Council / Upstate New York,Commercial,2018,1,AEO2022 Reference case,com
FRCC,Florida Reliability Coordinating Council,Industrial,2020,1,AEO2022 Reference case,ind
NYUP,Northeast Power Coordinating Council / Upstate New York,Industrial,2018,1,AEO2022 Reference case,ind
NYUP,Northeast Power Coordinating Council / Upstate New York,Residential,2018,1,AEO2023 High Oil Price,res
NYUP,Northeast Power Coordinating Council / Upstate New York,Commercial,2018,1,AEO2023 High Oil Price,com
MISW,Midcontinent / West,Residential,2020,1,AEO2022 Reference case,res
NYUP,Northeast Power Coordinating Council / Upstate New York,Industrial,2018,1,AEO2023 High Oil Price,ind
TRE,Texas Reliability Entity,Residential,2020,1,AEO2023 High Oil Price,res
TRE,Texas Reliability Entity,Commercial,2020,1,AEO2023 High Oil Price,com
TRE,Texas Reliability Entity,Industrial,2020,1,AEO2023 High Oil Price,ind
FRCC,Florida Reliability Coordinating Council,Residential,2020,1,AEO2023 High Oil Price,res
FRCC,Florida Reliability Coordinating Council,Commercial,2020,1,AEO2023 High Oil Price,com
PJME,PJM / East,Residential,2018,1,AEO2022 Reference case,res
PJME,PJM / East,Commercial,2018,1,AEO2022 Reference case,com
PJME,PJM / East,Industrial,2018,1,AEO2022 Reference case,ind
PJME,PJM / East,Residential,2018,1,AEO2023 High Oil Price,res
PJME,PJM / East,Commercial,2018,1,AEO2023 High Oil Price,com
PJMW,PJM / West,Residential,2018,1,AEO2022 Reference case,res
PJMW,PJM / West,Commercial,2018,1,AEO2022 Reference case,com
PJMW,PJM / West,Industrial,2018,1,AEO2022 Reference case,ind
PJMW,PJM / West,Commercial,2018,1,AEO2023 High Oil Price,com
MISW,Midcontinent / West,Commercial,2020,1,AEO2022 Reference case,com
PJMW,PJM / West,Industrial,2018,1,AEO2023 High Oil Price,ind
PJMW,PJM / West,Commercial,2018,1,AEO2023 High Economic Growth,com
PJMC,PJM / Commonwealth Edison,Residential,2018,1,AEO2022 Reference case,res
PJMC,PJM / Commonwealth Edison,Residential,2018,1,AEO2023 High Oil Price,res
PJMC,PJM / Commonwealth Edison,Commercial,2018,1,AEO2022 Reference case,com
MISW,Midcontinent / West,Industrial,2020,1,AEO2022 Reference case,ind
PJMC,PJM / Commonwealth Edison,Industrial,2018,1,AEO2022 Reference case,ind
PJMC,PJM / Commonwealth Edison,Commercial,2018,1,AEO2023 High Oil Price,com
MISC,Midcontinent / Central,Residential,2020,1,AEO2022 Reference case,res
PJMC,PJM / Commonwealth Edison,Industrial,2018,1,AEO2023 High Oil Price,ind
PJMD,PJM / Dominion,Residential,2018,1,AEO2022 Reference case,res
PJMD,PJM / Dominion,Commercial,2018,1,AEO2022 Reference case,com
PJMD,PJM / Dominion,Industrial,2018,1,AEO2022 Reference case,ind
PJMD,PJM / Dominion,Residential,2018,1,AEO2023 High Oil Price,res
PJMD,PJM / Dominion,Commercial,2018,1,AEO2023 High Oil Price,com
PJMD,PJM / Dominion,Industrial,2018,1,AEO2023 High Oil Price,ind
SRCA,SERC Reliability Corporation / East,Residential,2018,1,AEO2022 Reference case,res
SRCA,SERC Reliability Corporation / East,Commercial,2018,1,AEO2022 Reference case,com
SRCA,SERC Reliability Corporation / East,Industrial,2018,1,AEO2022 Reference case,ind
SRCA,SERC Reliability Corporation / East,Commercial,2018,1,AEO2023 High Oil Price,com
SRCA,SERC Reliability Corporation / East,Industrial,2018,1,AEO2023 High Oil Price,ind
SRSE,SERC Reliability Corporation / Southeastern,Residential,2018,1,AEO2022 Reference case,res
SRSE,SERC Reliability Corporation / Southeastern,Commercial,2018,1,AEO2022 Reference case,com
SRSE,SERC Reliability Corporation / Southeastern,Industrial,2018,1,AEO2022 Reference case,ind
SRSE,SERC Reliability Corporation / Southeastern,Residential,2018,1,AEO2023 High Oil Price,res
SRSE,SERC Reliability Corporation / Southeastern,Commercial,2018,1,AEO2023 High Oil Price,com
MISC,Midcontinent / Central,Commercial,2020,1,AEO2022 Reference case,com
SRSE,SERC Reliability Corporation / Southeastern,Industrial,2018,1,AEO2023 High Oil Price,ind
SRCE,SERC Reliability Corporation / Central,Residential,2018,1,AEO2022 Reference case,res
SRCE,SERC Reliability Corporation / Central,Commercial,2018,1,AEO2022 Reference case,com
SRCE,SERC Reliability Corporation / Central,Industrial,2018,1,AEO2022 Reference case,ind
SRCE,SERC Reliability Corporation / Central,Residential,2018,1,AEO2023 High Oil Price,res
MISC,Midcontinent / Central,Industrial,2020,1,AEO2022 Reference case,ind
SRCE,SERC Reliability Corporation / Central,Commercial,2018,1,AEO2023 High Oil Price,com
SRCE,SERC Reliability Corporation / Central,Industrial,2018,1,AEO2023 High Oil Price,ind
MISE,Midcontinent / East,Residential,2020,1,AEO2022 Reference case,res
SPPS,Southwest Power Pool / South,Residential,2018,1,AEO2022 Reference case,res
SPPS,Southwest Power Pool / South,Commercial,2018,1,AEO2022 Reference case,com
SPPS,Southwest Power Pool / South,Industrial,2018,1,AEO2022 Reference case,ind
SPPS,Southwest Power Pool / South,Residential,2018,1,AEO2023 High Oil Price,res
SPPS,Southwest Power Pool / South,Commercial,2018,1,AEO2023 High Oil Price,com
SPPS,Southwest Power Pool / South,Industrial,2018,1,AEO2023 High Oil Price,ind
SPPC,Southwest Power Pool / Central,Residential,2018,1,AEO2022 Reference case,res
SPPC,Southwest Power Pool / Central,Residential,2018,1,AEO2023 Low Oil Price,res
SPPC,Southwest Power Pool / Central,Commercial,2018,1,AEO2022 Reference case,com
SPPC,Southwest Power Pool / Central,Industrial,2018,1,AEO2022 Reference case,ind
SPPC,Southwest Power Pool / Central,Residential,2018,1,AEO2023 High Oil Price,res
MISE,Midcontinent / East,Commercial,2020,1,AEO2022 Reference case,com
MISE,Midcontinent / East,Industrial,2020,1,AEO2022 Reference case,ind
MISW,Midcontinent / West,Commercial,2020,1,AEO2023 High Oil Price,com
MISW,Midcontinent / West,Industrial,2020,1,AEO2023 High Oil Price,ind
MISC,Midcontinent / Central,Residential,2020,1,AEO2023 High Oil Price,res
MISC,Midcontinent / Central,Commercial,2020,1,AEO2023 High Oil Price,com
MISC,Midcontinent / Central,Industrial,2020,1,AEO2023 High Oil Price,ind
MISE,Midcontinent / East,Residential,2020,1,AEO2023 High Oil Price,res
MISE,Midcontinent / East,Commercial,2020,1,AEO2023 High Oil Price,com
MISE,Midcontinent / East,Industrial,2020,1,AEO2023 High Oil Price,ind
SPPC,Southwest Power Pool / Central,Commercial,2018,1,AEO2023 High Oil Price,com
SPPC,Southwest Power Pool / Central,Industrial,2018,1,AEO2023 High Oil Price,ind
MISS,Midcontinent / South,Residential,2020,1,AEO2022 Reference case,res
SPPN,Southwest Power Pool / North,Residential,2018,1,AEO2022 Reference case,res
SPPN,Southwest Power Pool / North,Commercial,2018,1,AEO2022 Reference case,com
SPPN,Southwest Power Pool / North,Industrial,2018,1,AEO2022 Reference case,ind
SPPN,Southwest Power Pool / North,Residential,2018,1,AEO2023 High Oil Price,res
SPPN,Southwest Power Pool / North,Commercial,2018,1,AEO2023 High Oil Price,com
SPPN,Southwest Power Pool / North,Industrial,2018,1,AEO2023 High Oil Price,ind
SRSG,Western Electricity Coordinating Council / Southwest,Residential,2018,1,AEO2022 Reference case,res
SRSG,Western Electricity Coordinating Council / Southwest,Commercial,2018,1,AEO2022 Reference case,com
SRSG,Western Electricity Coordinating Council / Southwest,Industrial,2018,1,AEO2022 Reference case,ind
SRSG,Western Electricity Coordinating Council / Southwest,Residential,2018,1,AEO2023 High Oil Price,res
SRSG,Western Electricity Coordinating Council / Southwest,Industrial,2018,1,AEO2023 High Oil Price,ind
SRSG,Western Electricity Coordinating Council / Southwest,Commercial,2018,1,AEO2023 High Oil Price,com
CANO,Western Electricity Coordinating Council / California North,Residential,2018,1,AEO2022 Reference case,res
CANO,Western Electricity Coordinating Council / California North,Commercial,2018,1,AEO2022 Reference case,com
CANO,Western Electricity Coordinating Council / California North,Industrial,2018,1,AEO2022 Reference case,ind
MISS,Midcontinent / South,Commercial,2020,1,AEO2022 Reference case,com
CANO,Western Electricity Coordinating Council / California North,Residential,2018,1,AEO2023 High Oil Price,res
CANO,Western Electricity Coordinating Council / California North,Industrial,2018,1,AEO2023 High Oil Price,ind
CANO,Western Electricity Coordinating Council / California North,Commercial,2018,1,AEO2023 High Oil Price,com
CASO,Western Electricity Coordinating Council / California South,Residential,2018,1,AEO2022 Reference case,res
CASO,Western Electricity Coordinating Council / California South,Commercial,2018,1,AEO2022 Reference case,com
CASO,Western Electricity Coordinating Council / California South,Industrial,2018,1,AEO2022 Reference case,ind
CASO,Western Electricity Coordinating Council / California South,Residential,2018,1,AEO2023 High Oil Price,res
MISS,Midcontinent / South,Industrial,2020,1,AEO2022 Reference case,ind
CASO,Western Electricity Coordinating Council / California South,Industrial,2018,1,AEO2023 High Oil Price,ind
CASO,Western Electricity Coordinating Council / California South,Commercial,2018,1,AEO2023 High Oil Price,com
ISNE,Northeast Power Coordinating Council / New England,Residential,2020,1,AEO2022 Reference case,res
NWPP,Western Electricity Coordinating Council / Northwest Power Pool Area,Residential,2018,1,AEO2022 Reference case,res
NWPP,Western Electricity Coordinating Council / Northwest Power Pool Area,Commercial,2018,1,AEO2022 Reference case,com
NWPP,Western Electricity Coordinating Council / Northwest Power Pool Area,Industrial,2018,1,AEO2022 Reference case,ind
NWPP,Western Electricity Coordinating Council / Northwest Power Pool Area,Residential,2018,1,AEO2023 High Oil Price,res
NWPP,Western Electricity Coordinating Council / Northwest Power Pool Area,Industrial,2018,1,AEO2023 High Oil Price,ind
NWPP,Western Electricity Coordinating Council / Northwest Power Pool Area,Commercial,2018,1,AEO2023 High Oil Price,com
RMRG,Western Electricity Coordinating Council / Rockies,Residential,2018,1,AEO2022 Reference case,res
RMRG,Western Electricity Coordinating Council / Rockies,Commercial,2018,1,AEO2022 Reference case,com
RMRG,Western Electricity Coordinating Council / Rockies,Industrial,2018,1,AEO2022 Reference case,ind
RMRG,Western Electricity Coordinating Council / Rockies,Residential,2018,1,AEO2023 High Oil Price,res
RMRG,Western Electricity Coordinating Council / Rockies,Industrial,2018,1,AEO2023 High Oil Price,ind
RMRG,Western Electricity Coordinating Council / Rockies,Commercial,2018,1,AEO2023 High Oil Price,com
BASN,Western Electricity Coordinating Council / Basin,Residential,2018,1,AEO2022 Reference case,res
BASN,Western Electricity Coordinating Council / Basin,Commercial,2018,1,AEO2022 Reference case,com
BASN,Western Electricity Coordinating Council / Basin,Industrial,2018,1,AEO2022 Reference case,ind
ISNE,Northeast Power Coordinating Council / New England,Commercial,2020,1,AEO2022 Reference case,com
BASN,Western Electricity Coordinating Council / Basin,Commercial,2018,1,AEO2023 High Oil Price,com
BASN,Western Electricity Coordinating Council / Basin,Industrial,2018,1,AEO2023 High Economic Growth,ind
ISNE,Northeast Power Coordinating Council / New England,Industrial,2020,1,AEO2022 Reference case,ind
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Residential,2020,1,AEO2022 Reference case,res
MISS,Midcontinent / South,Residential,2020,1,AEO2023 High Oil Price,res
MISS,Midcontinent / South,Commercial,2020,1,AEO2023 High Oil Price,com
MISS,Midcontinent / South,Industrial,2020,1,AEO2023 High Oil Price,ind
ISNE,Northeast Power Coordinating Council / New England,Residential,2020,1,AEO2023 High Oil Price,res
ISNE,Northeast Power Coordinating Council / New England,Commercial,2020,1,AEO2023 High Oil Price,com
ISNE,Northeast Power Coordinating Council / New England,Industrial,2020,1,AEO2023 High Oil Price,ind
TRE,Texas Reliability Entity,Industrial,2018,1,AEO2023 Reference case,ind
TRE,Texas Reliability Entity,Residential,2018,1,AEO2023 Reference case,res
TRE,Texas Reliability Entity,Commercial,2018,1,AEO2023 Reference case,com
FRCC,Florida Reliability Coordinating Council,Industrial,2018,1,AEO2023 Reference case,ind
FRCC,Florida Reliability Coordinating Council,Residential,2018,1,AEO2023 Reference case,res
FRCC,Florida Reliability Coordinating Council,Commercial,2018,1,AEO2023 Reference case,com
MISW,Midcontinent / West,Industrial,2018,1,AEO2023 Reference case,ind
MISW,Midcontinent / West,Residential,2018,1,AEO2023 Reference case,res
MISW,Midcontinent / West,Commercial,2018,1,AEO2023 Reference case,com
MISC,Midcontinent / Central,Industrial,2018,1,AEO2023 Reference case,ind
MISC,Midcontinent / Central,Residential,2018,1,AEO2023 Reference case,res
MISC,Midcontinent / Central,Commercial,2018,1,AEO2023 Reference case,com
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Commercial,2020,1,AEO2022 Reference case,com
MISE,Midcontinent / East,Industrial,2018,1,AEO2023 Reference case,ind
MISE,Midcontinent / East,Residential,2018,1,AEO2023 Reference case,res
MISE,Midcontinent / East,Commercial,2018,1,AEO2023 Reference case,com
MISS,Midcontinent / South,Industrial,2018,1,AEO2023 Reference case,ind
MISS,Midcontinent / South,Residential,2018,1,AEO2023 Reference case,res
MISS,Midcontinent / South,Commercial,2018,1,AEO2023 Reference case,com
ISNE,Northeast Power Coordinating Council / New England,Industrial,2018,1,AEO2023 Reference case,ind
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Industrial,2020,1,AEO2022 Reference case,ind
ISNE,Northeast Power Coordinating Council / New England,Residential,2018,1,AEO2023 Reference case,res
ISNE,Northeast Power Coordinating Council / New England,Commercial,2018,1,AEO2023 Reference case,com
NYUP,Northeast Power Coordinating Council / Upstate New York,Residential,2020,1,AEO2022 Reference case,res
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Industrial,2018,1,AEO2023 Reference case,ind
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Residential,2018,1,AEO2023 Reference case,res
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Commercial,2018,1,AEO2023 Reference case,com
NYUP,Northeast Power Coordinating Council / Upstate New York,Industrial,2018,1,AEO2023 Reference case,ind
NYUP,Northeast Power Coordinating Council / Upstate New York,Residential,2018,1,AEO2023 Reference case,res
NYUP,Northeast Power Coordinating Council / Upstate New York,Commercial,2018,1,AEO2023 Reference case,com
PJME,PJM / East,Industrial,2018,1,AEO2023 Reference case,ind
PJME,PJM / East,Residential,2018,1,AEO2023 Reference case,res
PJME,PJM / East,Commercial,2018,1,AEO2023 Reference case,com
PJMW,PJM / West,Industrial,2018,1,AEO2023 Reference case,ind
PJMW,PJM / West,Residential,2018,1,AEO2023 Reference case,res
PJMW,PJM / West,Commercial,2018,1,AEO2023 Reference case,com
PJMC,PJM / Commonwealth Edison,Industrial,2018,1,AEO2023 Reference case,ind
PJMC,PJM / Commonwealth Edison,Residential,2018,1,AEO2023 Reference case,res
PJMC,PJM / Commonwealth Edison,Commercial,2018,1,AEO2023 Reference case,com
PJMD,PJM / Dominion,Industrial,2018,1,AEO2023 Reference case,ind
NYUP,Northeast Power Coordinating Council / Upstate New York,Commercial,2020,1,AEO2022 Reference case,com
PJMD,PJM / Dominion,Residential,2018,1,AEO2023 Reference case,res
PJMD,PJM / Dominion,Commercial,2018,1,AEO2023 Reference case,com
SRCA,SERC Reliability Corporation / East,Industrial,2018,1,AEO2023 Reference case,ind
SRCA,SERC Reliability Corporation / East,Residential,2018,1,AEO2023 Reference case,res
NYUP,Northeast Power Coordinating Council / Upstate New York,Industrial,2020,1,AEO2022 Reference case,ind
SRCA,SERC Reliability Corporation / East,Commercial,2018,1,AEO2023 Reference case,com
SRSE,SERC Reliability Corporation / Southeastern,Industrial,2018,1,AEO2023 Reference case,ind
SRSE,SERC Reliability Corporation / Southeastern,Residential,2018,1,AEO2023 Reference case,res
PJME,PJM / East,Residential,2020,1,AEO2022 Reference case,res
SRSE,SERC Reliability Corporation / Southeastern,Commercial,2018,1,AEO2023 Reference case,com
SRCE,SERC Reliability Corporation / Central,Industrial,2018,1,AEO2023 Reference case,ind
SRCE,SERC Reliability Corporation / Central,Residential,2018,1,AEO2023 Reference case,res
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Residential,2020,1,AEO2023 High Oil Price,res
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Commercial,2020,1,AEO2023 High Oil Price,com
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Industrial,2020,1,AEO2023 High Oil Price,ind
NYUP,Northeast Power Coordinating Council / Upstate New York,Residential,2020,1,AEO2023 High Oil Price,res
NYUP,Northeast Power Coordinating Council / Upstate New York,Commercial,2020,1,AEO2023 High Oil Price,com
PJME,PJM / East,Residential,2020,1,AEO2023 High Economic Growth,res
SRCE,SERC Reliability Corporation / Central,Commercial,2018,1,AEO2023 Reference case,com
SPPS,Southwest Power Pool / South,Industrial,2018,1,AEO2023 Reference case,ind
SPPS,Southwest Power Pool / South,Residential,2018,1,AEO2023 Reference case,res
SPPS,Southwest Power Pool / South,Commercial,2018,1,AEO2023 Reference case,com
SPPC,Southwest Power Pool / Central,Industrial,2018,1,AEO2023 Reference case,ind
SPPC,Southwest Power Pool / Central,Residential,2018,1,AEO2023 Reference case,res
SPPC,Southwest Power Pool / Central,Commercial,2018,1,AEO2023 Reference case,com
SPPN,Southwest Power Pool / North,Residential,2018,1,AEO2023 Reference case,res
SPPN,Southwest Power Pool / North,Commercial,2018,1,AEO2023 Reference case,com
SPPN,Southwest Power Pool / North,Industrial,2018,1,AEO2023 Reference case,ind
SRSG,Western Electricity Coordinating Council / Southwest,Residential,2018,1,AEO2023 Reference case,res
SRSG,Western Electricity Coordinating Council / Southwest,Commercial,2018,1,AEO2023 Reference case,com
SRSG,Western Electricity Coordinating Council / Southwest,Industrial,2018,1,AEO2023 Reference case,ind
CANO,Western Electricity Coordinating Council / California North,Residential,2018,1,AEO2023 Reference case,res
CANO,Western Electricity Coordinating Council / California North,Commercial,2018,1,AEO2023 Reference case,com
CANO,Western Electricity Coordinating Council / California North,Industrial,2018,1,AEO2023 Reference case,ind
PJME,PJM / East,Commercial,2020,1,AEO2022 Reference case,com
CASO,Western Electricity Coordinating Council / California South,Residential,2018,1,AEO2023 Reference case,res
CASO,Western Electricity Coordinating Council / California South,Commercial,2018,1,AEO2023 Reference case,com
CASO,Western Electricity Coordinating Council / California South,Industrial,2018,1,AEO2023 Reference case,ind
NWPP,Western Electricity Coordinating Council / Northwest Power Pool Area,Residential,2018,1,AEO2023 Reference case,res
PJME,PJM / East,Industrial,2020,1,AEO2022 Reference case,ind
NWPP,Western Electricity Coordinating Council / Northwest Power Pool Area,Commercial,2018,1,AEO2023 Reference case,com
NWPP,Western Electricity Coordinating Council / Northwest Power Pool Area,Industrial,2018,1,AEO2023 Reference case,ind
RMRG,Western Electricity Coordinating Council / Rockies,Residential,2018,1,AEO2023 Reference case,res
RMRG,Western Electricity Coordinating Council / Rockies,Commercial,2018,1,AEO2023 Reference case,com
PJMW,PJM / West,Residential,2020,1,AEO2022 Reference case,res
RMRG,Western Electricity Coordinating Council / Rockies,Industrial,2018,1,AEO2023 Reference case,ind
BASN,Western Electricity Coordinating Council / Basin,Residential,2018,1,AEO2023 Reference case,res
BASN,Western Electricity Coordinating Council / Basin,Commercial,2018,1,AEO2023 Reference case,com
BASN,Western Electricity Coordinating Council / Basin,Industrial,2018,1,AEO2023 Reference case,ind
FRCC,Florida Reliability Coordinating Council,Residential,2018,1,AEO2023 High Oil Price,res
FRCC,Florida Reliability Coordinating Council,Commercial,2018,1,AEO2023 High Oil Price,com
FRCC,Florida Reliability Coordinating Council,Industrial,2018,1,AEO2023 High Oil Price,ind
MISS,Midcontinent / South,Industrial,2018,1,AEO2023 High Oil Price,ind
ISNE,Northeast Power Coordinating Council / New England,Commercial,2018,1,AEO2023 High Oil Price,com
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Industrial,2018,1,AEO2023 High Oil Price,ind
PJME,PJM / East,Industrial,2018,1,AEO2023 High Oil Price,ind
PJMW,PJM / West,Residential,2018,1,AEO2023 High Oil Price,res
SRCA,SERC Reliability Corporation / East,Residential,2018,1,AEO2023 High Oil Price,res
BASN,Western Electricity Coordinating Council / Basin,Residential,2018,1,AEO2023 High Oil Price,res
BASN,Western Electricity Coordinating Council / Basin,Industrial,2018,1,AEO2023 High Oil Price,ind
TRE,Texas Reliability Entity,Residential,2018,1,AEO2023 High Economic Growth,res
PJMW,PJM / West,Commercial,2020,1,AEO2022 Reference case,com
TRE,Texas Reliability Entity,Commercial,2018,1,AEO2023 High Economic Growth,com
TRE,Texas Reliability Entity,Industrial,2018,1,AEO2023 High Economic Growth,ind
FRCC,Florida Reliability Coordinating Council,Residential,2018,1,AEO2023 High Economic Growth,res
FRCC,Florida Reliability Coordinating Council,Commercial,2018,1,AEO2023 High Economic Growth,com
PJMW,PJM / West,Industrial,2020,1,AEO2022 Reference case,ind
MISW,Midcontinent / West,Residential,2018,1,AEO2023 High Economic Growth,res
MISW,Midcontinent / West,Commercial,2018,1,AEO2023 High Economic Growth,com
MISW,Midcontinent / West,Industrial,2018,1,AEO2023 High Economic Growth,ind
MISC,Midcontinent / Central,Residential,2018,1,AEO2023 High Economic Growth,res
PJMC,PJM / Commonwealth Edison,Residential,2020,1,AEO2022 Reference case,res
PJMC,PJM / Commonwealth Edison,Commercial,2020,1,AEO2022 Reference case,com
PJME,PJM / East,Residential,2020,1,AEO2023 High Oil Price,res
PJME,PJM / East,Commercial,2020,1,AEO2023 High Oil Price,com
PJME,PJM / East,Industrial,2020,1,AEO2023 High Oil Price,ind
PJMW,PJM / West,Residential,2020,1,AEO2023 High Oil Price,res
PJMW,PJM / West,Commercial,2020,1,AEO2023 High Oil Price,com
PJMW,PJM / West,Industrial,2020,1,AEO2023 High Oil Price,ind
PJMC,PJM / Commonwealth Edison,Residential,2020,1,AEO2023 High Oil Price,res
PJMC,PJM / Commonwealth Edison,Commercial,2020,1,AEO2023 High Oil Price,com
MISC,Midcontinent / Central,Commercial,2018,1,AEO2023 High Economic Growth,com
PJMC,PJM / Commonwealth Edison,Industrial,2020,1,AEO2022 Reference case,ind
MISC,Midcontinent / Central,Industrial,2018,1,AEO2023 High Economic Growth,ind
MISE,Midcontinent / East,Residential,2018,1,AEO2023 High Economic Growth,res
MISE,Midcontinent / East,Commercial,2018,1,AEO2023 High Economic Growth,com
PJMD,PJM / Dominion,Residential,2020,1,AEO2022 Reference case,res
MISE,Midcontinent / East,Industrial,2018,1,AEO2023 High Economic Growth,ind
MISS,Midcontinent / South,Residential,2018,1,AEO2023 High Economic Growth,res
MISS,Midcontinent / South,Commercial,2018,1,AEO2023 High Economic Growth,com
MISS,Midcontinent / South,Industrial,2018,1,AEO2023 High Economic Growth,ind
ISNE,Northeast Power Coordinating Council / New England,Residential,2018,1,AEO2023 High Economic Growth,res
ISNE,Northeast Power Coordinating Council / New England,Commercial,2018,1,AEO2023 High Economic Growth,com
ISNE,Northeast Power Coordinating Council / New England,Industrial,2018,1,AEO2023 High Economic Growth,ind
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Residential,2018,1,AEO2023 High Economic Growth,res
NYCW,Northeast Power Coordinating Council / New York City and Long Island,Commercial,2018,1,AEO2023 High Economic Growth,com
NYUP,Northeast Power Coordinating Council / Upstate New York,Residential,2018,1,AEO2023 High Economic Growth,res
NYUP,Northeast Power Coordinating Council / Upstate New York,Commercial,2018,1,AEO2023 High Economic Growth,com
NYUP,Northeast Power Coordinating Council / Upstate New York,Industrial,2018,1,AEO2023 High Economic Growth,ind
PJME,PJM / East,Residential,2018,1,AEO2023 High Economic Growth,res
PJME,PJM / East,Commercial,2018,1,AEO2023 High Economic Growth,com
PJME,PJM / East,Industrial,2018,1,AEO2023 High Economic Growth,ind
PJMW,PJM / West,Residential,2018,1,AEO2023 High Economic Growth,res
