state,nem_grade,sector,utility_type,nem_system_limit_kw
Massachusetts, A,res,Muni,0
Michigan, B,com,Coop,150
Michigan, B,ind,Coop,150
Michigan, B,res,Coop,150
Michigan, B,com,IOU,150
Michigan, B,ind,IOU,150
Michigan, B,res,IOU,150
Michigan, B,com,Muni,0
Michigan, B,ind,Muni,0
Michigan, B,res,Muni,0
Minnesota, B,com,Coop,1000
Minnesota, B,ind,Coop,1000
Minnesota, B,res,Coop,1000
Minnesota, B,com,IOU,1000
Minnesota, B,ind,IOU,1000
Minnesota, B,res,IOU,1000
Minnesota, B,com,Muni,1000
Minnesota, B,ind,Muni,1000
Minnesota, B,res,Muni,1000
Mississippi,,com,Coop,0
Mississippi,,ind,Coop,0
Mississippi,,res,Coop,0
Mississippi,,com,IOU,0
Mississippi,,ind,IOU,0
Mississippi,,res,IOU,0
Mississippi,,com,Muni,0
Mississippi,,ind,Muni,0
Mississippi,,res,Muni,0
Missouri, B,com,Coop,100
Missouri, B,ind,Coop,100
Missouri, B,res,Coop,100
Missouri, B,com,IOU,100
Missouri, B,ind,IOU,100
Missouri, B,res,IOU,100
Missouri, B,com,Muni,100
Missouri, B,ind,Muni,100
Missouri, B,res,Muni,100
Montana, C,com,Coop,0
Montana, C,ind,Coop,0
Montana, C,res,Coop,0
Montana, C,com,IOU,50
Montana, C,ind,IOU,50
Montana, C,res,IOU,50
Montana, C,com,Muni,0
Montana, C,ind,Muni,0
Montana, C,res,Muni,0
Nebraska, B,com,Coop,25
Nebraska, B,ind,Coop,25
Nebraska, B,res,Coop,25
Nebraska, B,com,IOU,25
Nebraska, B,ind,IOU,25
Nebraska, B,res,IOU,25
Nebraska, B,com,Muni,25
Nebraska, B,ind,Muni,25
Nebraska, B,res,Muni,25
Nevada, A,com,Coop,0
Nevada, A,ind,Coop,0
Nevada, A,res,Coop,0
Nevada, A,com,IOU,1000
Nevada, A,ind,IOU,1000
Nevada, A,res,IOU,1000
Nevada, A,com,Muni,0
Nevada, A,ind,Muni,0
Nevada, A,res,Muni,0
New Hampshire, A,com,Coop,100
New Hampshire, A,ind,Coop,100
New Hampshire, A,res,Coop,100
New Hampshire, A,com,IOU,100
New Hampshire, A,ind,IOU,100
New Hampshire, A,res,IOU,100
New Hampshire, A,com,Muni,100
New Hampshire, A,ind,Muni,100
New Hampshire, A,res,Muni,100
New Jersey, A,com,Coop,0
New Jersey, A,ind,Coop,0
New Jersey, A,res,Coop,0
New Jersey, A,com,IOU,Infinity
New Jersey, A,ind,IOU,Infinity
New Jersey, A,res,IOU,Infinity
New Jersey, A,com,Muni,0
New Jersey, A,ind,Muni,0
New Jersey, A,res,Muni,0
New Mexico, B,com,Coop,80000
New Mexico, B,ind,Coop,80000
New Mexico, B,res,Coop,80000
New Mexico, B,com,IOU,80000
New Mexico, B,ind,IOU,80000
New Mexico, B,res,IOU,80000
New Mexico, B,com,Muni,0
New Mexico, B,ind,Muni,0
New Mexico, B,res,Muni,0
New York, A,com,Coop,0
New York, A,ind,Coop,0
New York, A,res,Coop,0
New York, A,com,IOU,2000
New York, A,ind,IOU,2000
New York, A,res,IOU,25
New York, A,com,Muni,0
New York, A,ind,Muni,0
New York, A,res,Muni,0
North Carolina, D,com,Coop,0
North Carolina, D,ind,Coop,0
North Carolina, D,res,Coop,0
North Carolina, D,com,IOU,1000
North Carolina, D,ind,IOU,1000
North Carolina, D,res,IOU,1000
North Carolina, D,com,Muni,0
North Carolina, D,ind,Muni,0
North Carolina, D,res,Muni,0
North Dakota, C,com,Coop,0
North Dakota, C,ind,Coop,0
North Dakota, C,res,Coop,0
North Dakota, C,com,IOU,100
North Dakota, C,ind,IOU,100
North Dakota, C,res,IOU,100
North Dakota, C,com,Muni,0
North Dakota, C,ind,Muni,0
North Dakota, C,res,Muni,0
Ohio, A,com,Coop,0
Ohio, A,ind,Coop,0
Ohio, A,res,Coop,0
Ohio, A,com,IOU,Infinity
Ohio, A,ind,IOU,Infinity
Ohio, A,res,IOU,Infinity
Ohio, A,com,Muni,0
Ohio, A,ind,Muni,0
Ohio, A,res,Muni,0
Oklahoma, F,com,Coop,15
Oklahoma, F,ind,Coop,15
Oklahoma, F,res,Coop,15
Oklahoma, F,com,IOU,15
Oklahoma, F,ind,IOU,15
Oklahoma, F,res,IOU,15
Oklahoma, F,com,Muni,0
Oklahoma, F,ind,Muni,0
Oklahoma, F,res,Muni,0
Oregon, A,com,Coop,2000
Oregon, A,ind,Coop,2000
Oregon, A,res,Coop,25
Oregon, A,com,IOU,2000
Oregon, A,ind,IOU,2000
Oregon, A,res,IOU,25
Oregon, A,com,Muni,2000
Oregon, A,ind,Muni,2000
Oregon, A,res,Muni,25
Pennsylvania, A,com,Coop,0
Pennsylvania, A,ind,Coop,0
Pennsylvania, A,res,Coop,0
Pennsylvania, A,com,IOU,3000
Pennsylvania, A,ind,IOU,3000
Pennsylvania, A,res,IOU,50
Pennsylvania, A,com,Muni,0
Pennsylvania, A,ind,Muni,0
Pennsylvania, A,res,Muni,0
Rhode Island, B,com,Coop,0
Rhode Island, B,ind,Coop,0
Rhode Island, B,res,Coop,0
Rhode Island, B,com,IOU,5000
Rhode Island, B,ind,IOU,5000
Rhode Island, B,res,IOU,5000
Rhode Island, B,com,Muni,0
Rhode Island, B,ind,Muni,0
Rhode Island, B,res,Muni,0
South Carolina, D,com,Coop,0
South Carolina, D,ind,Coop,0
South Carolina, D,res,Coop,0
South Carolina, D,com,IOU,100
South Carolina, D,ind,IOU,100
South Carolina, D,res,IOU,20
South Carolina, D,com,Muni,0
South Carolina, D,ind,Muni,0
South Carolina, D,res,Muni,0
South Dakota,,com,Coop,0
South Dakota,,ind,Coop,0
South Dakota,,res,Coop,0
South Dakota,,com,IOU,0
South Dakota,,ind,IOU,0
South Dakota,,res,IOU,0
South Dakota,,com,Muni,0
South Dakota,,ind,Muni,0
South Dakota,,res,Muni,0
Tennessee,,com,Coop,0
Tennessee,,ind,Coop,0
Tennessee,,res,Coop,0
Tennessee,,com,IOU,0
Tennessee,,ind,IOU,0
Tennessee,,res,IOU,0
Tennessee,,com,Muni,0
Tennessee,,ind,Muni,0
Tennessee,,res,Muni,0
Texas,,com,Coop,0
Texas,,ind,Coop,0
Texas,,res,Coop,0
Texas,,com,IOU,0
Texas,,ind,IOU,0
Texas,,res,IOU,0
Texas,,com,Muni,0
Texas,,ind,Muni,0
Texas,,res,Muni,0
Utah, A,com,Coop,2000
Utah, A,ind,Coop,2000
Utah, A,res,Coop,25
Utah, A,com,IOU,2000
Utah, A,ind,IOU,2000
Utah, A,res,IOU,25
Utah, A,com,Muni,0
Utah, A,ind,Muni,0
Utah, A,res,Muni,0
Vermont, A,com,Coop,500
Vermont, A,ind,Coop,500
Vermont, A,res,Coop,500
Vermont, A,com,IOU,500
Vermont, A,ind,IOU,500
Vermont, A,res,IOU,500
Vermont, A,com,Muni,500
Vermont, A,ind,Muni,500
Vermont, A,res,Muni,500
Virginia, C,com,Coop,500
Virginia, C,ind,Coop,500
Virginia, C,res,Coop,10
Virginia, C,com,IOU,500
Virginia, C,ind,IOU,500
Virginia, C,res,IOU,10
Virginia, C,com,Muni,0
Virginia, C,ind,Muni,0
Virginia, C,res,Muni,0
Washington, B,com,Coop,100
Washington, B,ind,Coop,100
Washington, B,res,Coop,100
Washington, B,com,IOU,100
Washington, B,ind,IOU,100
Washington, B,res,IOU,100
Washington, B,com,Muni,100
Washington, B,ind,Muni,100
Washington, B,res,Muni,100
West Virginia, A,com,Coop,50
West Virginia, A,ind,Coop,50
West Virginia, A,res,Coop,25
West Virginia, A,com,IOU,500
West Virginia, A,ind,IOU,2000
West Virginia, A,res,IOU,25
West Virginia, A,com,Muni,50
West Virginia, A,ind,Muni,50
West Virginia, A,res,Muni,25
Wisconsin, C,com,Coop,0
Wisconsin, C,ind,Coop,0
Wisconsin, C,res,Coop,0
Wisconsin, C,com,IOU,100
Wisconsin, C,ind,IOU,100
Wisconsin, C,res,IOU,100
Wisconsin, C,com,Muni,20
Wisconsin, C,ind,Muni,20
Wisconsin, C,res,Muni,20
Wyoming, B,com,Coop,25
Wyoming, B,ind,Coop,25
Wyoming, B,res,Coop,25
Wyoming, B,com,IOU,25
Wyoming, B,ind,IOU,25
Wyoming, B,res,IOU,25
Wyoming, B,com,Muni,0
Wyoming, B,ind,Muni,0
Wyoming, B,res,Muni,0
