state_abbr,saidi,saifi,saidi_hrs,interruption_duration_hrs,sector,sector_abbr,interruption_cost_per_event_usd,interruption_cost_per_average_kw_usd,interruption_cost_per_unserved_kwh_usd,value_of_resiliency_usd
IL,142.7477705,0.913795384,2.379129508,1,Small_C&I,com,647,295,295,591.2256136
IL,142.7477705,0.913795384,2.379129508,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,16269.21302
IL,142.7477705,0.913795384,2.379129508,1,Residential,res,5.1,3.3,3.3,4.66035646
IN,285.4313197,1.439899119,4.757188661,4,Small_C&I,com,1880,857.1,214.3,2707.010344
IN,285.4313197,1.439899119,4.757188661,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,56815.53945
IN,285.4313197,1.439899119,4.757188661,4,Residential,res,9.5,6.2,1.6,13.67904163
KS,154.8482742,1.08118552,2.580804569,1,Small_C&I,com,647,295,295,699.5270316
KS,154.8482742,1.08118552,2.580804569,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,19249.427
KS,154.8482742,1.08118552,2.580804569,1,Residential,res,5.1,3.3,3.3,5.514046153
KY,406.2112375,1.785057836,6.770187292,4,Small_C&I,com,1880,857.1,214.3,3355.908732
KY,406.2112375,1.785057836,6.770187292,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,70434.81211
KY,406.2112375,1.785057836,6.770187292,4,Residential,res,9.5,6.2,1.6,16.95804945
LA,276.0247683,2.093924063,4.600412804,4,Small_C&I,com,1880,857.1,214.3,3936.577239
LA,276.0247683,2.093924063,4.600412804,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,82622.05569
LA,276.0247683,2.093924063,4.600412804,4,Residential,res,9.5,6.2,1.6,19.8922786
MA,813.305556,1.552297675,13.5550926,8,Small_C&I,com,4690,2138.1,267.3,7280.276098
MA,813.305556,1.552297675,13.5550926,8,Medium_and_Large_C&I,ind,84083,103.2,12.9,130521.8454
MA,813.305556,1.552297675,13.5550926,8,Residential,res,17.2,11.3,1.4,26.69952002
MD,337.1481944,1.298152948,5.619136574,4,Small_C&I,com,1880,857.1,214.3,2440.527543
MD,337.1481944,1.298152948,5.619136574,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,51222.51904
MD,337.1481944,1.298152948,5.619136574,4,Residential,res,9.5,6.2,1.6,12.33245301
ME,665.3229313,2.801059875,11.08871552,8,Small_C&I,com,4690,2138.1,267.3,13136.97081
ME,665.3229313,2.801059875,11.08871552,8,Medium_and_Large_C&I,ind,84083,103.2,12.9,235521.5175
ME,665.3229313,2.801059875,11.08871552,8,Residential,res,17.2,11.3,1.4,48.17822985
MI,442.8640495,1.376581177,7.381067492,4,Small_C&I,com,1880,857.1,214.3,2587.972613
MI,442.8640495,1.376581177,7.381067492,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,54317.14008
MI,442.8640495,1.376581177,7.381067492,4,Residential,res,9.5,6.2,1.6,13.07752118
MN,127.2572814,1.01364861,2.12095469,1,Small_C&I,com,647,295,295,655.8306506
MN,127.2572814,1.01364861,2.12095469,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,18046.99985
MN,127.2572814,1.01364861,2.12095469,1,Residential,res,5.1,3.3,3.3,5.169607911
MO,149.6036242,0.943995464,2.493393737,1,Small_C&I,com,647,295,295,610.7650655
MO,149.6036242,0.943995464,2.493393737,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,16806.89525
MO,149.6036242,0.943995464,2.493393737,1,Residential,res,5.1,3.3,3.3,4.814376868
MS,267.5128586,1.51629419,4.458547643,4,Small_C&I,com,1880,857.1,214.3,2850.633077
MS,267.5128586,1.51629419,4.458547643,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,59829.93615
MS,267.5128586,1.51629419,4.458547643,4,Residential,res,9.5,6.2,1.6,14.40479481
MT,142.6817956,1.221316089,2.378029926,1,Small_C&I,com,647,295,295,790.1915098
MT,142.6817956,1.221316089,2.378029926,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,21744.31166
MT,142.6817956,1.221316089,2.378029926,1,Residential,res,5.1,3.3,3.3,6.228712056
NC,1761.513778,2.123605548,29.35856296,16,Small_C&I,com,9055,4128.3,258,19229.24824
NC,1761.513778,2.123605548,29.35856296,16,Medium_and_Large_C&I,ind,165482,203,12.7,351418.4933
NC,1761.513778,2.123605548,29.35856296,16,Residential,res,32.4,21.2,1.3,68.80481976
ND,94.42881908,0.896148238,1.573813651,1,Small_C&I,com,647,295,295,579.8079101
ND,94.42881908,0.896148238,1.573813651,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,15955.02323
ND,94.42881908,0.896148238,1.573813651,1,Residential,res,5.1,3.3,3.3,4.570356015
NE,188.1789986,1.027991557,3.136316644,1,Small_C&I,com,647,295,295,665.1105376
NE,188.1789986,1.027991557,3.136316644,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,18302.36169
NE,188.1789986,1.027991557,3.136316644,1,Residential,res,5.1,3.3,3.3,5.242756942
NH,508.8374623,2.170419791,8.480624372,8,Small_C&I,com,4690,2138.1,267.3,10179.26882
NH,508.8374623,2.170419791,8.480624372,8,Medium_and_Large_C&I,ind,84083,103.2,12.9,182495.4073
NH,508.8374623,2.170419791,8.480624372,8,Residential,res,17.2,11.3,1.4,37.3312204
NJ,509.72695,1.418431736,8.495449166,8,Small_C&I,com,4690,2138.1,267.3,6652.444844
NJ,509.72695,1.418431736,8.495449166,8,Medium_and_Large_C&I,ind,84083,103.2,12.9,119265.9957
NJ,509.72695,1.418431736,8.495449166,8,Residential,res,17.2,11.3,1.4,24.39702587
NM,138.291437,1.095604128,2.304857283,1,Small_C&I,com,647,295,295,708.8558707
NM,138.291437,1.095604128,2.304857283,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,19506.13589
NM,138.291437,1.095604128,2.304857283,1,Residential,res,5.1,3.3,3.3,5.587581052
NV,126.1601415,0.976294844,2.102669025,1,Small_C&I,com,647,295,295,631.6627643
NV,126.1601415,0.976294844,2.102669025,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,17381.95341
NV,126.1601415,0.976294844,2.102669025,1,Residential,res,5.1,3.3,3.3,4.979103706
NY,405.5106653,1.006590501,6.758511089,4,Small_C&I,com,1880,857.1,214.3,1892.390142
NY,405.5106653,1.006590501,6.758511089,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,39718.04798
NY,405.5106653,1.006590501,6.758511089,4,Residential,res,9.5,6.2,1.6,9.562609758
OH,242.0385486,1.396145275,4.03397581,4,Small_C&I,com,1880,857.1,214.3,2624.753117
OH,242.0385486,1.396145275,4.03397581,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,55089.10026
OH,242.0385486,1.396145275,4.03397581,4,Residential,res,9.5,6.2,1.6,13.26338011
OK,175.5746078,1.326165421,2.926243464,1,Small_C&I,com,647,295,295,858.0290276
OK,175.5746078,1.326165421,2.926243464,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,23611.04916
OK,175.5746078,1.326165421,2.926243464,1,Residential,res,5.1,3.3,3.3,6.763443649
OR,113.0656896,0.904240549,1.884428159,1,Small_C&I,com,647,295,295,585.0436354
OR,113.0656896,0.904240549,1.884428159,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,16099.09874
OR,113.0656896,0.904240549,1.884428159,1,Residential,res,5.1,3.3,3.3,4.611626801
PA,518.0468341,1.43169915,8.634113901,8,Small_C&I,com,4690,2138.1,267.3,6714.669011
PA,518.0468341,1.43169915,8.634113901,8,Medium_and_Large_C&I,ind,84083,103.2,12.9,120381.5596
PA,518.0468341,1.43169915,8.634113901,8,Residential,res,17.2,11.3,1.4,24.62522537
RI,594.78,1.57,9.913,8,Small_C&I,com,4690,2138.1,267.3,7363.3
RI,594.78,1.57,9.913,8,Medium_and_Large_C&I,ind,84083,103.2,12.9,132010.31
RI,594.78,1.57,9.913,8,Residential,res,17.2,11.3,1.4,27.004
SC,470.2865092,1.601030928,7.838108486,4,Small_C&I,com,1880,857.1,214.3,3009.938144
SC,470.2865092,1.601030928,7.838108486,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,63173.47835
SC,470.2865092,1.601030928,7.838108486,4,Residential,res,9.5,6.2,1.6,15.20979381
SD,92.10338348,1.028094409,1.535056391,1,Small_C&I,com,647,295,295,665.1770828
SD,92.10338348,1.028094409,1.535056391,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,18304.19286
SD,92.10338348,1.028094409,1.535056391,1,Residential,res,5.1,3.3,3.3,5.243281488
TN,199.7510625,1.830403665,3.329184376,1,Small_C&I,com,647,295,295,1184.271171
TN,199.7510625,1.830403665,3.329184376,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,32588.50685
TN,199.7510625,1.830403665,3.329184376,1,Residential,res,5.1,3.3,3.3,9.335058691
TX,167.2389633,1.341851785,2.787316055,1,Small_C&I,com,647,295,295,868.1781049
TX,167.2389633,1.341851785,2.787316055,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,23890.32918
TX,167.2389633,1.341851785,2.787316055,1,Residential,res,5.1,3.3,3.3,6.843444104
UT,125.3266325,0.975823339,2.088777208,1,Small_C&I,com,647,295,295,631.3577002
UT,125.3266325,0.975823339,2.088777208,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,17373.55872
UT,125.3266325,0.975823339,2.088777208,1,Residential,res,5.1,3.3,3.3,4.976699028
VA,507.3492464,1.812316104,8.455820774,8,Small_C&I,com,4690,2138.1,267.3,8499.762528
VA,507.3492464,1.812316104,8.455820774,8,Medium_and_Large_C&I,ind,84083,103.2,12.9,152384.975
VA,507.3492464,1.812316104,8.455820774,8,Residential,res,17.2,11.3,1.4,31.17183699
VT,824.8675357,2.618807957,13.74779226,8,Small_C&I,com,4690,2138.1,267.3,12282.20932
VT,824.8675357,2.618807957,13.74779226,8,Medium_and_Large_C&I,ind,84083,103.2,12.9,220197.2295
VT,824.8675357,2.618807957,13.74779226,8,Residential,res,17.2,11.3,1.4,45.04349686
WA,270.3687335,1.211754519,4.506145558,4,Small_C&I,com,1880,857.1,214.3,2278.098495
WA,270.3687335,1.211754519,4.506145558,4,Medium_and_Large_C&I,ind,39458,48.4,12.1,47813.40979
WA,270.3687335,1.211754519,4.506145558,4,Residential,res,9.5,6.2,1.6,11.51166793
WI,122.7705546,0.806220207,2.04617591,1,Small_C&I,com,647,295,295,521.6244742
WI,122.7705546,0.806220207,2.04617591,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,14353.94457
WI,122.7705546,0.806220207,2.04617591,1,Residential,res,5.1,3.3,3.3,4.111723058
WV,739.6686478,2.645535638,12.3278108,8,Small_C&I,com,4690,2138.1,267.3,12407.56214
WV,739.6686478,2.645535638,12.3278108,8,Medium_and_Large_C&I,ind,84083,103.2,12.9,222444.5731
WV,739.6686478,2.645535638,12.3278108,8,Residential,res,17.2,11.3,1.4,45.50321298
WY,136.7068566,1.208523618,2.278447609,1,Small_C&I,com,647,295,295,781.914781
WY,136.7068566,1.208523618,2.278447609,1,Medium_and_Large_C&I,ind,17804,21.8,21.8,21516.5545
WY,136.7068566,1.208523618,2.278447609,1,Residential,res,5.1,3.3,3.3,6.163470453
